hs_id,face_analysis,hair_analysis,score,definition
HS39,rectangular,wavy/curly,4,Kat kat inen dalgalar hem yüzü çerçeveler hem de yanlardaki hacmiyle uzunluğu kamufle eder.
HS40,rectangular,wavy/curly,3,Yan ayrımın dalgalı formu yanal bir odak noktası yaratarak yüzü dengeler.
HS41,rectangular,wavy/curly,4,"Belirgin dalgalar ve dengeli yan geçişiyle, dikdörtgen yüzü modernize eden zirve kısa modellerdendir."
HS42,rectangular,wavy/curly,4,"Asimetrik hacimli katlar, dikdörtgen yüzün ciddiyetini asi ve dengeli bir tarzla kırar."
HS01,rectangular,buzz,0,Teknik uyumsuzluk; Buzz kısalığında bu akışkan formu yakalamak mümkün değildir.
HS02,rectangular,buzz,1,Saçlar yukarı taranacak uzunlukta değildir; ayrıca dikey hacim dikdörtgen yüzü çok fazla uzatır.
HS03,rectangular,buzz,2,Yüzün tüm dikey hattını ortaya çıkarır; ancak güçlü bir sakal hattıyla dengelenirse maskülen durabilir.
HS04,rectangular,buzz,4,"Alındaki kısa ve yatay küt hat, dikdörtgen yüzün boyunu optik olarak kısaltan en iyi Buzz varyasyonudur."
HS05,rectangular,buzz,0,Teknik uyumsuzluk; bu kısalıktaki saçta belirgin bir ayrım hattı oluşturulamaz.
HS06,rectangular,buzz,3,Yanların hafif dolu bırakılması yüzün zayıf görünmesini engeller ve daha dengeli bir çerçeve sunar.
HS07,rectangular,buzz,1,Üst kütle yana yatırılamayacak kadar kısadır; yüz boyunu kısaltma etkisi yaratmaz.
HS08,rectangular,buzz,3,"Alın hattına yakın bırakılan minimal uzunluk, dikdörtgen yüzün dikey etkisini bir miktar yumuşatır."
HS09,rectangular,buzz,0,Buzz seviyesinde kıvırcık doku oluşmaz; teknik olarak uygulanması mümkün değildir.
HS10,rectangular,buzz,0,Yapısal olarak imkansız; Buzz kesim alna düşen bir kahkül yapısı barındırmaz.
HS11,rectangular,buzz,0,Buzz saçın doğasına aykırı; uzunluk ve form bu modelle tamamen zıttır.
HS12,rectangular,buzz,0,Teknik uyumsuzluk; bu kısalıkta ortadan ayrılan bir çerçeveleme yapılamaz.
HS13,rectangular,buzz,1,"Tepedeki sivriltme, dikdörtgen yüzün halihazırdaki uzunluğunu aşırı vurgulayarak dengeyi bozar."
HS14,rectangular,buzz,4,Üstteki hafif dokunun öne yönlendirilmesi yüz boyunu kısaltır; dikdörtgen yüzler için en tarz Buzz seçeneğidir.
HS15,rectangular,buzz,0,Teknik uyumsuzluk; alna sarkan bir doku bu kesim tarzında mevcut değildir.
HS16,rectangular,buzz,1,"Yanların aşırı kısalığı yüzü daraltırken tepedeki darlık yüzü ""sırık"" gibi uzun gösterir."
HS17,rectangular,buzz,3,"Alın hattını çok açmadan sağladığı nizamlı duruş, uzun yüzlerde Buzz kesime göre daha seçkin durur."
HS18,rectangular,buzz,0,Saçlar geriye taranacak uzunlukta değildir; teknik olarak uygulanamaz.
HS19,rectangular,buzz,4,"Fade geçişinin aşağıda tutulması yanlardaki dolgunluğu korur, bu da uzun yüzün daha geniş görünmesini sağlar."
HS20,rectangular,buzz,0,Teknik uyumsuzluk; Buzz saçın toplanamayacak kadar kısa olması modelle çelişir.
HS21,rectangular,buzz,0,Buzz saç yapısında bu dağınık ve orta boy katmanlı yapı kurulamaz.
HS22,rectangular,buzz,2,Yanların orta seviyede açılması dikdörtgen yüzü bazen fazla ince ve uzun gösterebilir.
HS23,rectangular,buzz,1,"Uzun kemik yapısını hiçbir dengeleyici unsur olmadan ortaya çıkaran, yüzü olduğundan daha sıska gösteren bir kesimdir."
HS24,rectangular,buzz,0,Teknik uyumsuzluk; Buzz kesim ensede bu derece bir uzunluk farkı barındırmaz.
HS25,rectangular,buzz,0,Buzz saçta o karakteristik yüksek tepe hacmini oluşturmak teknik olarak imkansızdır.
HS26,rectangular,buzz,1,Ön tarafta dikey yükselme sağlayacak saç uzunluğu olmadığı için model karakteri oluşmaz.
HS27,rectangular,buzz,3,Çok nizamlı ve disiplinlidir; yanların çok açılmaması dikdörtgen yüz için bir avantajdır.
HS28,rectangular,buzz,1,Buzz kısalığında doğal bir ayrım çizgisi oluşmaz; yüzün dikey hattını desteklemez.
HS29,rectangular,buzz,1,Yukarı bakan kısa dokular yüzün boyunu optik olarak artırarak estetiği bozar.
HS30,rectangular,buzz,0,Yapısal olarak imkansız; Buzz kesim omuz hizasına ulaşan bir uzunluk değildir.
HS31,rectangular,buzz,1,Yanların tamamen sıfırlanması dikdörtgen yüzü aşırı derecede dar ve orantısız uzun gösterir.
HS32,rectangular,buzz,0,Buzz saç yapısı pürüzsüzce arkaya yatırılabilecek bir yüzeye sahip değildir.
HS33,rectangular,buzz,0,Kısa Buzz saçta dalga formu oluşması fiziksel olarak mümkün değildir.
HS34,rectangular,buzz,4,Üstteki makas dokusu dikdörtgen yüzün dikey hattını kırarak daha modern ve dengeli bir ifade sunar.
HS35,rectangular,buzz,1,Buzz saçta bu hacimli ve dokulu yükselişi sağlayacak malzeme yoktur.
HS36,rectangular,buzz,0,Teknik uyumsuzluk; Buzz saçın tepe düğümü oluşturacak uzunluğu yoktur.
HS37,rectangular,buzz,2,Yanların kısalığı üstteki Buzz dokuyu çok izole ederse yüz orantısız derecede uzun görünebilir.
HS38,rectangular,buzz,0,"Buzz stile göre üstteki saçların uzun kalması gerekir, bu da temel kesimle uyumsuzdur."
HS39,rectangular,buzz,0,Buzz saçta dalgalı ve katlı bir yapı kurulması mümkün değildir.
HS40,rectangular,buzz,0,Teknik olarak imkansız; Buzz saçta ne dalga ne de ayrım hattı hayat bulur.
HS41,rectangular,buzz,3,"Saçlar bir tık uzadığında hafif bir doku kazandırılması, uzun yüzün ciddiyetini yumuşatabilir."
HS42,rectangular,buzz,0,Buzz kesim ile Wolf Cut yapısı birbirine tamamen zıt karakterdedir.
